Make,Model,Price,Year,Kilometer,Transmission,Location,Color,Owner,Seller Type,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power BHP,Max Power RPM,Max Torque Nm,Max Torque RPM,Drivetrain_FWD,Drivetrain_RWD,Fuel Type_CNG + CNG,Fuel Type_Diesel,Fuel Type_Electric,Fuel Type_Hybrid,Fuel Type_LPG,Fuel Type_Petrol,Fuel Type_Petrol + LPG
BMW,3-Series 320d,13.592368256649284,0.7058823529411765,11.232907283075203,Automatic,Mumbai,White,2,Individual,,,,,,,,,,,False,True,False,True,False,False,False,False,False
BMW,X1 sDrive20d xLine,14.603513724288955,0.8235294117647058,11.251573687764477,Automatic,Surat,Black,1,Individual,1995.0,4454.0,2044.0,1545.0,5.0,63.0,184.0,4000.0,0.5531914893617021,1750.0,False,True,False,True,False,False,False,False,False
Mahindra,XUV500 W4 1.99,13.592368256649284,0.8529411764705882,11.626263078808801,Manual,Muzaffurpur,Silver,1,Individual,1997.0,4585.0,1890.0,1785.0,7.0,70.0,138.0,3750.0,0.425531914893617,1600.0,True,False,False,True,False,False,False,False,False
Mercedes-Benz,GLS 400d 4MATIC,16.372737946851277,0.9705882352941176,8.006700845440367,Automatic,Delhi,White,1,Individual,2925.0,5207.0,2157.0,1823.0,7.0,90.0,326.0,3600.0,2.0425531914893615,1200.0,False,False,False,True,False,False,False,False,False
Toyota,Fortuner 2.8 4x2 AT [2016-2020],15.067988057145726,0.9117647058823529,11.19822841866684,Automatic,Mumbai,White,1,Individual,2755.0,4795.0,1855.0,1835.0,7.0,80.0,174.0,3400.0,0.9787234042553191,1600.0,False,True,False,True,False,False,False,False,False
Maruti Suzuki,Vitara Brezza ZDi+ Dual Tone [2017-2018],13.369225017834633,0.8235294117647058,10.859018228147887,Manual,Delhi,Blue,2,Individual,1248.0,3995.0,1790.0,1640.0,5.0,48.0,89.0,4000.0,-0.0851063829787234,1750.0,True,False,False,True,False,False,False,False,False
Maruti Suzuki,DZire LDi,13.235693848424024,0.8823529411764706,11.344518647594766,Manual,Ambala Cantt,White,3,Individual,1248.0,3995.0,1735.0,1515.0,5.0,37.0,74.0,4000.0,-0.1276595744680851,2000.0,True,False,False,True,False,False,False,False,False
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],15.46416937585933,0.9411764705882353,9.798182590890704,Automatic,Noida,White,1,Individual,1950.0,5063.0,1860.0,1494.0,5.0,80.0,192.0,3800.0,0.7659574468085106,1600.0,False,True,False,True,False,False,False,False,False
Land Rover,Range Rover 3.0 V6 Diesel Vogue,16.775615705688583,0.9117647058823529,11.050905878263567,Automatic,Bangalore,Black,1,Individual,2993.0,4999.0,2220.0,1835.0,5.0,105.0,244.0,4000.0,1.6170212765957446,2000.0,False,False,False,True,False,False,False,False,False
Ford,Ecosport Titanium + 1.5L TDCi [2019-2020],13.652992804936396,0.9117647058823529,10.239995502805316,Manual,Mumbai,White,1,Individual,1498.0,3998.0,1765.0,1647.0,5.0,52.0,99.0,3750.0,-0.06382978723404255,1750.0,True,False,False,True,False,False,False,False,False
Honda,City V CVT Petrol [2017-2019],14.108180918195472,0.9705882352941176,9.305741456739435,Automatic,Mumbai,Black,1,Individual,1497.0,4440.0,1695.0,1495.0,5.0,40.0,117.0,6600.0,-0.3191489361702128,4600.0,True,False,False,False,False,False,False,True,False
Hyundai,Creta 1.4 S,13.592368256649284,0.8823529411764706,11.127277689932466,Manual,Kanpur,Grey,1,Individual,1396.0,4270.0,1780.0,1630.0,5.0,60.0,89.0,4000.0,0.01702127659574468,1500.0,True,False,False,True,False,False,False,False,False
Volvo,S60 Kinetic D4,13.81049801614073,0.7058823529411765,11.399891136336048,Automatic,Hyderabad,White,1,Individual,1984.0,4635.0,1865.0,1484.0,5.0,67.5,165.0,3500.0,0.7659574468085106,2750.0,True,False,False,True,False,False,False,False,False
Maruti Suzuki,Vitara Brezza VDi,13.521140839642674,0.8823529411764706,10.491301994830229,Manual,Patna,White,1,Individual,1248.0,3995.0,1790.0,1640.0,5.0,48.0,89.0,4000.0,-0.0851063829787234,1750.0,True,False,False,True,False,False,False,False,False
Tata,Safari 2.2 VX 4x2,13.51440681653079,0.7941176470588235,11.951186847493476,Manual,Hyderabad,Black,1,Individual,2179.0,4655.0,1965.0,1922.0,7.0,55.0,138.0,4000.0,0.425531914893617,1700.0,False,True,False,True,False,False,False,False,False
MG,Hector Sharp 2.0 Diesel [2019-2020],14.360738188157574,0.9117647058823529,10.083848855954896,Manual,Bangalore,Red,1,Individual,1956.0,4655.0,1835.0,1760.0,5.0,60.0,169.0,3750.0,0.5531914893617021,1750.0,True,False,False,True,False,False,False,False,False
Land Rover,Discovery Sport HSE Luxury 7-Seater,15.336117475270969,0.9117647058823529,10.819798284210286,Automatic,Karnal,Blue,1,Individual,2179.0,4600.0,2069.0,1724.0,7.0,65.0,188.0,3500.0,0.851063829787234,1750.0,False,False,False,True,False,False,False,False,False
Nissan,Terrano XL D Plus,13.304686600863562,0.8235294117647058,11.502885230075814,Manual,Chennai,White,1,Individual,1461.0,4331.0,1822.0,1671.0,5.0,50.0,84.0,3750.0,-0.0851063829787234,1900.0,True,False,False,True,False,False,False,False,False
BMW,3-Series 330i M Sport Edition,15.520258832020865,0.9411764705882353,9.852246888342531,Automatic,Chennai,Black,1,Individual,1998.0,4633.0,1811.0,1429.0,5.0,57.0,248.0,5200.0,0.5531914893617021,1450.0,False,True,False,False,False,False,False,True,False
Maruti Suzuki,Ertiga ZDI + SHVS,13.652992804936396,0.9117647058823529,11.184435286790631,Manual,Lucknow,Silver,1,Individual,1248.0,4296.0,1695.0,1685.0,7.0,45.0,89.0,4000.0,-0.0851063829787234,1750.0,True,False,False,True,False,False,False,False,False
Mercedes-Benz,GLC 220d 4MATIC Progressive,15.671808704579888,1.0,8.612685172875459,Automatic,Hyderabad,White,0,Individual,1950.0,4658.0,1890.0,1644.0,5.0,66.0,192.0,3800.0,0.7659574468085106,1600.0,False,False,False,True,False,False,False,False,False
Hyundai,Verna 1.6 CRDI SX,13.369225017834633,0.7941176470588235,10.799595985047786,Manual,Mumbai,White,1,Individual,1582.0,4375.0,1700.0,1475.0,5.0,43.0,126.0,4000.0,0.1702127659574468,1900.0,True,False,False,True,False,False,False,False,False
Hyundai,Elantra 1.8 SX MT,13.45883704259595,0.7647058823529411,11.06665398721974,Manual,Dehradun,White,1,Individual,1797.0,4530.0,1775.0,1470.0,5.0,56.0,147.0,6500.0,-0.1829787234042553,4700.0,True,False,False,False,False,False,False,True,False
Audi,Q2 Premium 40 TFSI quattro,15.053885078862573,1.0,8.434028950155469,Automatic,Gurgaon,Blue,1,Individual,1984.0,4318.0,1805.0,1548.0,5.0,55.0,188.0,4200.0,0.425531914893617,1500.0,False,False,False,False,False,False,False,True,False
Audi,Q3 30 TDI Premium FWD,14.493544608328255,0.8529411764705882,11.350418300109132,Automatic,Chennai,Blue,2,Individual,1968.0,4385.0,1831.0,1608.0,5.0,64.0,150.0,3500.0,0.5106382978723404,1750.0,True,False,False,True,False,False,False,False,False
Maruti Suzuki,Alto LXi,12.54254845357358,0.6764705882352942,11.145868239758318,Manual,Hyderabad,Gold,1,Individual,998.0,3620.0,1475.0,1460.0,5.0,35.0,67.0,6200.0,-0.5531914893617021,3500.0,True,False,False,False,False,False,False,True,False
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT (O) [2016-2017],13.384729180332174,0.8529411764705882,10.80817118186853,Automatic,Pune,Silver,1,Individual,1197.0,3765.0,1660.0,1520.0,5.0,43.0,81.0,6000.0,-0.451063829787234,4000.0,True,False,False,False,False,False,False,True,False
Hyundai,Venue SX 1.0 Turbo iMT,13.98525417643287,0.9705882352941176,9.278092474027002,Manual,Jaipur,White,1,Individual,998.0,3995.0,1770.0,1605.0,5.0,45.0,118.0,6000.0,-0.20425531914893616,1500.0,True,False,False,False,False,False,False,True,False
Toyota,Innova 2.5 G 7 STR BS-IV,13.527829818844937,0.7647058823529411,11.744045122410057,Manual,Delhi,Silver,1,Individual,2494.0,4585.0,1760.0,1760.0,7.0,55.0,100.0,3600.0,-0.0851063829787234,1400.0,False,True,False,True,False,False,False,False,False
Mercedes-Benz,GLE 250 d,15.250595321348806,0.8529411764705882,11.350418300109132,Automatic,Ludhiana,Black,1,Individual,2143.0,4819.0,2141.0,1796.0,5.0,93.0,201.0,3800.0,1.1914893617021276,1600.0,False,False,False,True,False,False,False,False,False
Audi,A3 35 TDI Premium,14.88022163978423,0.9117647058823529,9.650528916142733,Automatic,Mumbai,White,1,Individual,1968.0,4456.0,1796.0,1416.0,5.0,50.0,141.0,3500.0,0.425531914893617,1750.0,True,False,False,True,False,False,False,False,False
Hyundai,Venue SX (O) 1.0 Turbo iMT,13.883170141017091,0.9705882352941176,9.082620630373812,Manual,Delhi,White,1,Individual,998.0,3995.0,1770.0,1605.0,5.0,45.0,118.0,6000.0,-0.20425531914893616,1500.0,True,False,False,False,False,False,False,True,False
Renault,Kwid 1.0 RXT Edition,12.886643575525625,0.8823529411764706,11.231901180182515,Manual,Raipur,Blue,1,Individual,999.0,3679.0,1579.0,1478.0,5.0,28.0,67.0,5500.0,-0.548936170212766,4250.0,True,False,False,False,False,False,False,True,False
Maruti Suzuki,Wagon R VXi 1.2,13.217675375388819,0.9411764705882353,9.852246888342531,Manual,Varanasi,Blue,1,Individual,1197.0,3655.0,1620.0,1675.0,5.0,32.0,82.0,6000.0,-0.4553191489361702,4200.0,True,False,False,False,False,False,False,True,False
Maruti Suzuki,S-Presso VXi (O),12.959846800844963,0.9117647058823529,10.882602837543518,Manual,Mirzapur,Grey,1,Individual,998.0,3565.0,1520.0,1564.0,5.0,27.0,67.0,5500.0,-0.5531914893617021,3500.0,True,False,False,False,False,False,False,True,False
Maruti Suzuki,Wagon R LXi 1.0 CNG [2019-2020],13.161586013632684,0.9117647058823529,11.23850177707664,Manual,Kanpur,White,1,Individual,998.0,3655.0,1620.0,1675.0,5.0,60.0,58.0,5500.0,-0.6042553191489362,3500.0,True,False,False,False,False,False,False,False,False
Maruti Suzuki,Baleno Zeta 1.2,13.237477967034438,0.8529411764705882,11.127277689932466,Manual,Noida,Brown,1,Individual,1197.0,3995.0,1745.0,1500.0,5.0,37.0,83.0,6000.0,-0.44680851063829785,4000.0,True,False,False,False,False,False,False,True,False
Maruti Suzuki,Alto VXi,12.409017571151187,0.7647058823529411,10.344995251991222,Manual,Jamshedpur,Maroon,2,Individual,998.0,3620.0,1475.0,1460.0,5.0,35.0,67.0,6200.0,-0.5531914893617021,3500.0,True,False,False,False,False,False,False,True,False
Maruti Suzuki,Wagon R LXi LPG,12.524530013005734,0.6764705882352942,10.645448706505872,Manual,Bhopal,White,2,Individual,998.0,3595.0,1475.0,1700.0,5.0,28.0,46.0,6200.0,-0.574468085106383,3500.0,True,False,False,False,False,False,True,False,False
Maruti Suzuki,Baleno Zeta 1.2 AT,13.42246945133505,0.8529411764705882,10.480578330949756,Automatic,Pune,Blue,1,Individual,1197.0,3995.0,1745.0,1500.0,5.0,37.0,83.0,6000.0,-0.44680851063829785,4000.0,True,False,False,False,False,False,False,True,False
Maruti Suzuki,Swift VXi [2014-2017],13.217675375388819,0.8823529411764706,10.819798284210286,Manual,Meerut,White,1,Individual,1197.0,3850.0,1695.0,1530.0,5.0,42.0,83.0,6000.0,-0.44680851063829785,4000.0,True,False,False,False,False,False,False,True,False
Ford,Endeavour Titanium Plus 3.2 4x4 AT,14.99416586199818,0.9117647058823529,10.434145214930487,Automatic,Chennai,White,1,Individual,3198.0,4903.0,1869.0,1837.0,7.0,80.0,197.0,3000.0,1.0638297872340425,1750.0,False,False,False,True,False,False,False,False,False
Audi,TT 2.0 TFSI Quattro,15.201805169084134,0.7647058823529411,10.58139418367979,Automatic,Jaipur,White,2,Individual,1984.0,4198.0,1842.0,1353.0,2.0,60.0,208.0,4300.0,0.5531914893617021,1600.0,False,False,False,False,False,False,False,True,False
Toyota,Innova 2.8 ZX AT 7 STR [2016-2020],14.580978865220017,0.8529411764705882,10.714439990727769,Automatic,Mumbai,Grey,1,Individual,2755.0,4735.0,1830.0,1795.0,7.0,55.0,172.0,3400.0,0.5957446808510638,1200.0,False,True,False,True,False,False,False,False,False
