Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Max Power BHP,Max Power RPM,Max Torque Nm,Max Torque RPM
BMW,X1 sDrive20d xLine,14.603513724288955,0.8235294117647058,11.251573687764477,Diesel,Automatic,Surat,Black,First,Individual,0.4380083855631499,RWD,4454.0,2044.0,1545.0,0.5,63.0,184.0,4000.0,350.0,1750.0
Mahindra,XUV500 W4 1.99,13.592368256649284,0.8529411764705882,11.626263078808801,Diesel,Manual,Muzaffurpur,Silver,First,Individual,0.4410447040527158,FWD,4585.0,1890.0,1785.0,0.8333333333333334,70.0,138.0,3750.0,320.0,1600.0
Mercedes-Benz,GLS 400d 4MATIC,16.372737946851277,0.9705882352941176,8.006700845440367,Diesel,Automatic,Delhi,White,First,Individual,1.849896483211294,AWD,5207.0,2157.0,1823.0,0.8333333333333334,90.0,326.0,3600.0,700.0,1200.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],15.067988057145726,0.9117647058823529,11.19822841866684,Diesel,Automatic,Mumbai,White,First,Individual,1.5918094115981924,RWD,4795.0,1855.0,1835.0,0.8333333333333334,80.0,174.0,3400.0,450.0,1600.0
Maruti Suzuki,Vitara Brezza ZDi+ Dual Tone [2017-2018],13.369225017834633,0.8235294117647058,10.859018228147887,Diesel,Manual,Delhi,Blue,Second,Individual,-0.6960565702897143,FWD,3995.0,1790.0,1640.0,0.5,48.0,89.0,4000.0,200.0,1750.0
Maruti Suzuki,DZire LDi,13.235693848424024,0.8823529411764706,11.344518647594766,Diesel,Manual,Ambala Cantt,White,Third,Individual,-0.6960565702897143,FWD,3995.0,1735.0,1515.0,0.5,37.0,74.0,4000.0,190.0,2000.0
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],15.46416937585933,0.9411764705882353,9.798182590890704,Diesel,Automatic,Noida,White,First,Individual,0.3696912195479171,RWD,5063.0,1860.0,1494.0,0.5,80.0,192.0,3800.0,400.0,1600.0
Land Rover,Range Rover 3.0 V6 Diesel Vogue,16.775615705688583,0.9117647058823529,11.050905878263567,Diesel,Automatic,Bangalore,Black,First,Individual,1.9531313118565348,AWD,4999.0,2220.0,1835.0,0.5,105.0,244.0,4000.0,600.0,2000.0
Ford,Ecosport Titanium + 1.5L TDCi [2019-2020],13.652992804936396,0.9117647058823529,10.239995502805316,Diesel,Manual,Mumbai,White,First,Individual,-0.31651675909397664,FWD,3998.0,1765.0,1647.0,0.5,52.0,99.0,3750.0,205.0,1750.0
Honda,City V CVT Petrol [2017-2019],14.108180918195472,0.9705882352941176,9.305741456739435,Petrol,Automatic,Mumbai,Black,First,Individual,-0.31803491833875963,FWD,4440.0,1695.0,1495.0,0.5,40.0,117.0,6600.0,145.0,4600.0
Hyundai,Creta 1.4 S,13.592368256649284,0.8823529411764706,11.127277689932466,Diesel,Manual,Kanpur,Grey,First,Individual,-0.4713690020618376,FWD,4270.0,1780.0,1630.0,0.5,60.0,89.0,4000.0,224.0,1500.0
Volvo,S60 Kinetic D4,13.81049801614073,0.7058823529411765,11.399891136336048,Diesel,Automatic,Hyderabad,White,First,Individual,0.42130863387053746,FWD,4635.0,1865.0,1484.0,0.5,67.5,165.0,3500.0,400.0,2750.0
Maruti Suzuki,Vitara Brezza VDi,13.521140839642674,0.8823529411764706,10.491301994830229,Diesel,Manual,Patna,White,First,Individual,-0.6960565702897143,FWD,3995.0,1790.0,1640.0,0.5,48.0,89.0,4000.0,200.0,1750.0
Tata,Safari 2.2 VX 4x2,13.51440681653079,0.7941176470588235,11.951186847493476,Diesel,Manual,Hyderabad,Black,First,Individual,0.7173496866032129,RWD,4655.0,1965.0,1922.0,0.8333333333333334,55.0,138.0,4000.0,320.0,1700.0
MG,Hector Sharp 2.0 Diesel [2019-2020],14.360738188157574,0.9117647058823529,10.083848855954896,Diesel,Manual,Bangalore,Red,First,Individual,0.37880017501661484,FWD,4655.0,1835.0,1760.0,0.5,60.0,169.0,3750.0,350.0,1750.0
Land Rover,Discovery Sport HSE Luxury 7-Seater,15.336117475270969,0.9117647058823529,10.819798284210286,Diesel,Automatic,Karnal,Blue,First,Individual,0.7173496866032129,AWD,4600.0,2069.0,1724.0,0.8333333333333334,65.0,188.0,3500.0,420.0,1750.0
